id|N|Y
1|0.29227|0.70773
2|0.66986|0.33014
3|0.24472|0.75528
4|0.71658|0.28342
5|0.28885|0.71115
6|0.74488|0.25512
7|0.30014|0.69986
8|0.77024|0.22976
9|0.30328|0.69672
10|0.74457|0.25543
11|0.72927|0.27073
12|0.26468|0.73532
13|0.28924|0.71076
14|0.32297|0.67703
15|0.74847|0.25153
16|0.76247|0.23753
17|0.62765|0.37235
18|0.29923|0.70077
19|0.29228|0.70772
20|0.73881|0.26119
21|0.62946|0.37054
22|0.30151|0.69849000000000006
23|0.72606|0.27394
24|0.3187|0.6813
25|0.32167|0.67833
26|0.74735|0.25265
27|0.71506|0.28494
28|0.26885|0.73115
29|0.31179|0.68821
30|0.74671|0.25329
31|0.77305|0.22695
32|0.72137|0.27863
33|0.32167|0.67833
34|0.31115|0.68885
35|0.74488|0.25512
36|0.2974|0.7026
37|0.29252|0.70748
38|0.7473|0.2527
39|0.75402|0.24598
40|0.74214|0.25786
41|0.74531|0.25469
42|0.30835|0.69165
43|0.30328|0.69672
44|0.30275|0.69725
45|0.3187|0.6813
46|0.77373|0.22627
47|0.78096|0.21904
48|0.74488|0.25512
49|0.33262|0.66738
50|0.61699|0.38301
51|0.29481|0.70519
52|0.75924|0.24076
53|0.731|0.269
54|0.70963|0.29037
55|0.67938|0.32062
56|0.24769|0.75231
57|0.7085|0.2915
58|0.27413|0.72587
59|0.76099000000000006|0.23901
60|0.31562|0.68438
61|0.70721|0.29279
62|0.30765|0.69235
63|0.73758|0.26242
64|0.30398|0.69602
65|0.72646|0.27354
66|0.27839|0.72161
67|0.29142|0.70858
68|0.28763|0.71237
69|0.74112|0.25888
70|0.31146|0.68854
71|0.79055|0.20945
72|0.71379|0.28621
73|0.28584|0.71416
74|0.32296|0.67704
75|0.76428|0.23572
76|0.77985|0.22015
77|0.27658|0.72342
78|0.61478|0.38522
79|0.3015|0.6985
80|0.34719|0.65281
81|0.76167|0.23833
82|0.65467|0.34533
83|0.28171|0.71829
84|0.31217|0.68783
85|0.71001|0.28999
86|0.27875|0.72125
87|0.74458|0.25542
88|0.73072|0.26928
89|0.31179|0.68821
90|0.71975|0.28025
91|0.29192|0.70808
92|0.70817|0.29183
93|0.26345|0.73655
94|0.66122|0.33878
95|0.68612|0.31388
96|0.3059|0.6941
97|0.73019|0.26981
98|0.28364|0.71636
99|0.2974|0.7026
100|0.30499|0.69501
101|0.72899|0.27101
102|0.71982|0.28018
103|0.28363|0.71637
104|0.27542|0.72458
105|0.29707|0.70293
106|0.28589|0.71411
107|0.76887|0.23113
108|0.31186|0.68814
109|0.32147|0.67853
110|0.72091|0.27909
111|0.72488|0.27512
112|0.32296|0.67704
113|0.32297|0.67703
114|0.32296|0.67704
115|0.74047|0.25953
116|0.76576|0.23424
117|0.33969|0.66031
118|0.30344|0.69656
119|0.78005|0.21995
120|0.73343|0.26657
121|0.74053|0.25947
122|0.30765|0.69235
123|0.30916|0.69084
124|0.67976|0.32024
125|0.31885|0.68115
126|0.79511|0.20489
127|0.73217|0.26783
128|0.28294|0.71706
129|0.76198|0.23802
130|0.29142|0.70858
131|0.28702|0.71298
132|0.30306|0.69694
133|0.74551|0.25449
134|0.72896|0.27104
135|0.30453|0.69547
136|0.74457|0.25543
137|0.76685|0.23315
138|0.28212|0.71788
139|0.65933|0.34067
140|0.29671|0.70329
141|0.63152|0.36848
142|0.30306|0.69694
143|0.72988|0.27012
144|0.71509|0.28491
145|0.28158|0.71842
146|0.73044|0.26956
147|0.30275|0.69725
148|0.78096|0.21904
149|0.73314|0.26686
150|0.27836|0.72164
151|0.77402|0.22598
152|0.74664|0.25336
153|0.7473|0.2527
154|0.28584|0.71416
155|0.64764|0.35236
156|0.30114|0.69886
157|0.74589|0.25411
158|0.74947|0.25053
159|0.74559|0.25441
160|0.24486|0.75514
161|0.29517|0.70483
162|0.30014|0.69986
163|0.7453|0.2547
164|0.28137|0.71863
165|0.71694|0.28306
166|0.70721|0.29279
167|0.74457|0.25543
168|0.27836|0.72164
169|0.29142|0.70858
170|0.31253|0.68747
171|0.78817|0.21183
172|0.76128|0.23872
173|0.75986|0.24014
174|0.7356|0.2644
175|0.74201|0.25799
176|0.76142|0.23858
177|0.31703|0.68297
178|0.74368|0.25632
179|0.30051|0.69949
180|0.76167|0.23833
181|0.31536|0.68464
182|0.34719|0.65281
183|0.30094|0.69906
184|0.7356|0.2644
185|0.74475|0.25525
186|0.76102|0.23898
187|0.31678|0.68322
188|0.25328|0.74672
189|0.30429|0.69571
190|0.74559|0.25441
191|0.28452|0.71548
192|0.72983|0.27017
193|0.31835|0.68165
194|0.255|0.745
195|0.74587|0.25413
196|0.28519|0.71481
197|0.74356|0.25644
198|0.71363|0.28637
199|0.26758|0.73242
200|0.28457|0.71543
201|0.75856|0.24144
202|0.74677|0.25323
203|0.72044|0.27956
204|0.71379|0.28621
205|0.30453|0.69547
206|0.74576|0.25424
207|0.73111|0.26889
208|0.27122|0.72878
209|0.27122|0.72878
210|0.7126|0.2874
211|0.74458|0.25542
212|0.77466|0.22534
213|0.63055|0.36945
214|0.27507|0.72493
215|0.28584|0.71416
216|0.72957|0.27043
217|0.28643|0.71357
218|0.76099000000000006|0.23901
219|0.29487|0.70513
220|0.75819|0.24181
221|0.28904|0.71096
222|0.65853|0.34147
223|0.7273|0.2727
224|0.79158|0.20842
225|0.76424|0.23576
226|0.71841|0.28159
227|0.7212|0.2788
228|0.29226|0.70774
229|0.69163|0.30837
230|0.26468|0.73532
231|0.32167|0.67833
232|0.77078|0.22922
233|0.77877|0.22123
234|0.29923|0.70077
235|0.77205|0.22795
236|0.7483|0.2517
237|0.74551|0.25449
238|0.76218|0.23782
239|0.3087|0.6913
240|0.74935|0.25065
241|0.74488|0.25512
242|0.76428|0.23572
243|0.28589|0.71411
244|0.72988|0.27012
245|0.74886|0.25114
246|0.27836|0.72164
247|0.73223|0.26777
248|0.30501|0.69499
249|0.71966|0.28034
250|0.67576|0.32424
251|0.26059|0.73941
252|0.28154|0.71846
253|0.73019|0.26981
254|0.2974|0.7026
255|0.7473|0.2527
256|0.30819|0.69181
257|0.76247|0.23753
258|0.27545|0.72455
259|0.31479|0.68521
260|0.71966|0.28034
261|0.28171|0.71829
262|0.73683|0.26317
263|0.73408|0.26592
264|0.27748|0.72252
265|0.74303|0.25697
266|0.731|0.269
267|0.74458|0.25542
268|0.75486|0.24514
269|0.72238|0.27762
270|0.77126|0.22874
271|0.26666|0.73334
272|0.71778|0.28222
273|0.28884|0.71116
274|0.69338|0.30662
275|0.67291|0.32709
276|0.29501|0.70499
277|0.72896|0.27104
278|0.30453|0.69547
279|0.71658|0.28342
280|0.77758|0.22242
281|0.72899|0.27101
282|0.30187|0.69813
283|0.29707|0.70293
284|0.74475|0.25525
285|0.29707|0.70293
286|0.73283|0.26717
287|0.3046|0.6954
288|0.74677|0.25323
289|0.34277|0.65723
290|0.26755|0.73245
291|0.64764|0.35236
292|0.2784|0.7216
293|0.7453|0.2547
294|0.31083|0.68917
295|0.64584|0.35416
296|0.69361|0.30639
297|0.27237|0.72763
298|0.30453|0.69547
299|0.71658|0.28342
300|0.71904|0.28096
301|0.74677|0.25323
302|0.74707|0.25293
303|0.29142|0.70858
304|0.74264|0.25736
305|0.30711|0.69289
306|0.74576|0.25424
307|0.65111|0.34889
308|0.63376|0.36624
309|0.3015|0.6985
310|0.31141|0.68859
311|0.68662|0.31338
312|0.33896|0.66104
313|0.64584|0.35416
314|0.71569|0.28431
315|0.29481|0.70519
316|0.29519|0.70481
317|0.65034|0.34966
318|0.63297|0.36703
319|0.7483|0.2517
320|0.29106|0.70894
321|0.7483|0.2517
322|0.74576|0.25424
323|0.27542|0.72458
324|0.74564|0.25436
325|0.32865|0.67135
326|0.76846|0.23154
327|0.74946|0.25054
328|0.76885|0.23115
329|0.75638|0.24362
330|0.35586|0.64414
331|0.78817|0.21183
332|0.74829|0.25171
333|0.76884|0.23116
334|0.35223|0.64777
335|0.77067|0.22933
336|0.78157|0.21843
337|0.73496|0.26504
338|0.31445|0.68555
339|0.74699|0.25301
340|0.59379|0.40621
341|0.23896|0.76104
342|0.24578|0.75422
343|0.27535|0.72465
344|0.75909|0.24091
345|0.35721|0.64279
346|0.77424|0.22576
347|0.76951|0.23049
348|0.78184|0.21816
349|0.76841|0.23159
350|0.369|0.631
351|0.24883|0.75117
352|0.6633|0.3367
353|0.27539|0.72461
354|0.33764|0.66236
355|0.75446|0.24554
356|0.35998|0.64002
357|0.77425|0.22575
358|0.78184|0.21816
359|0.38713|0.61287
360|0.68453|0.31547
361|0.64502|0.35498
362|0.28997|0.71003
363|0.32374000000000003|0.67626
364|0.79158|0.20842
365|0.76292|0.23708
366|0.34556|0.65444
367|0.75929|0.24071
368|0.78263|0.21737
369|0.73651|0.26349
370|0.32239|0.67761
371|0.29435|0.70565
372|0.31414|0.68586
373|0.74528|0.25472
374|0.32369|0.67631
375|0.76779|0.23221
376|0.76951|0.23049
377|0.76774|0.23226
378|0.24879|0.75121
379|0.63303|0.36697
380|0.27911|0.72089
381|0.369|0.631
382|0.37057|0.62943
383|0.39623|0.60377
384|0.76774|0.23226
385|0.79158|0.20842
386|0.60962|0.39038
387|0.69996|0.30004
388|0.31238|0.68762
389|0.369|0.631
390|0.76478|0.23522
391|0.73548|0.26452
392|0.72426|0.27574
393|0.2947|0.7053
394|0.73222|0.26778
395|0.69996|0.30004
396|0.308|0.692
397|0.31974|0.68026
398|0.76099000000000006|0.23901
399|0.68567|0.31433
400|0.66365|0.33635
401|0.27304|0.72696
402|0.35185|0.64815
403|0.3505|0.6495
404|0.76951|0.23049
405|0.76951|0.23049
406|0.74899|0.25101
407|0.73972|0.26028
408|0.36639|0.63361
409|0.74946|0.25054
410|0.7651|0.2349
411|0.79158|0.20842
412|0.35707|0.64293
413|0.7359|0.2641
414|0.73651|0.26349
415|0.73651|0.26349
416|0.35223|0.64777
417|0.71048|0.28952
418|0.76885|0.23115
419|0.78227|0.21773
420|0.76884|0.23116
421|0.76884|0.23116
422|0.77528|0.22472
423|0.76951|0.23049
424|0.76617|0.23383
425|0.77425|0.22575
426|0.78263|0.21737
427|0.76846|0.23154
428|0.62515|0.37485
429|0.36411|0.63589
430|0.78744|0.21256
431|0.23983|0.76017
432|0.64694|0.35306
433|0.78093|0.21907
434|0.7736|0.2264
435|0.24879|0.75121
436|0.66279|0.33721
437|0.30611|0.69389
438|0.29511|0.70489
439|0.29511|0.70489
440|0.75141|0.24859
441|0.3114|0.6886
442|0.35093|0.64907
443|0.75559|0.24441
444|0.74561|0.25439
445|0.75559|0.24441
446|0.33656|0.66344
447|0.32297|0.67703
448|0.66846|0.33154
449|0.76023|0.23977
450|0.34043|0.65957
451|0.78717|0.21283
452|0.76072|0.23928
453|0.32239|0.67761
454|0.72176|0.27824
455|0.78744|0.21256
456|0.77391|0.22609
457|0.37992|0.62008
458|0.75912|0.24088
459|0.3399|0.6601
460|0.74429|0.25571
461|0.29435|0.70565
462|0.78733|0.21267
463|0.73222|0.26778
464|0.73222|0.26778
465|0.7641|0.2359
466|0.35669|0.64331
467|0.7353|0.2647
468|0.32833|0.67167
469|0.33392|0.66608
470|0.3788|0.6212
471|0.75672|0.24328
472|0.38088|0.61912
473|0.77672|0.22328
474|0.79158|0.20842
475|0.7641|0.2359
476|0.32473|0.67527
477|0.64256|0.35744
478|0.78182|0.21818
479|0.24314|0.75686
480|0.24314|0.75686
481|0.7265|0.2735
482|0.28708|0.71292
483|0.3339|0.6661
484|0.30998|0.69002
485|0.35223|0.64777
486|0.75344|0.24656
487|0.77463|0.22537
488|0.77936|0.22064
489|0.77904|0.22096
490|0.38588|0.61412
491|0.38976|0.61024
492|0.78518|0.21482
493|0.68006|0.31994
494|0.6292|0.3708
495|0.28487|0.71513
496|0.75819|0.24181
497|0.77321|0.22679
498|0.76|0.24
499|0.76478|0.23522
500|0.77321|0.22679
501|0.76901|0.23099
502|0.28672|0.71328
